week,State,Average of Sum of Replacement Ratio 1,Average of Sum of Replacement Ratio 2
10-15,Alaska,0.326,0.288
10-15,Alabama,0.443,0.381
10-15,Arkansas,0.394,0.386
10-15,Arizona,0.363,0.302
10-15,California,0.407,0.341
10-15,Colorado,0.483,0.417
10-15,Connecticut,0.399,0.38
10-15,District of Columbia,0.426,0.388
10-15,Delaware,0.398,0.383
10-15,Florida,0.408,0.344
10-15,Georgia,0.454,0.408
10-15,Hawaii,0.596,0.529
10-15,Iowa,0.498,0.467
10-15,Idaho,0.502,0.468
10-15,Illinois,0.396,0.358
10-15,Indiana,0.352,0.326
10-15,Kansas,0.511,0.429
10-15,Kentucky,0.473,0.427
10-15,Louisiana,0.325,0.213
10-15,Massachusetts,0.436,0.433
10-15,Maryland,0.491,0.449
10-15,Maine,0.474,0.443
10-15,Michigan,0.45,0.363
10-15,Minnesota,0.49,0.46
10-15,Missouri,0.404,0.355
10-15,Mississippi,0.376,0.357
10-15,Montana,0.485,0.465
10-15,North Carolina,0.381,0.317
10-15,North Dakota,0.486,0.473
10-15,Nebraska,0.464,0.453
10-15,New Hampshire,0.419,0.357
10-15,New Jersey,0.526,0.484
10-15,New Mexico,0.519,0.461
10-15,Nevada,0.506,0.434
10-15,New York,0.41,0.323
10-15,Ohio,0.47,0.434
10-15,Oklahoma,0.533,0.494
10-15,Oregon,0.481,0.452
10-15,Pennsylvania,0.503,0.459
10-15,Puerto Rico,0.484,0.455
10-15,Rhode Island,0.414,0.402
10-15,South Carolina,0.441,0.383
10-15,South Dakota,0.498,0.464
10-15,Tennessee,0.379,0.327
10-15,Texas,0.516,0.425
10-15,Utah,0.468,0.447
10-15,Virginia,0.413,0.357
10-15,Vermont,0.604,0.572
10-15,Washington,0.493,0.448
10-15,Wisconsin,0.423,0.384
10-15,West Virginia,0.403,0.364
10-15,Wyoming,0.506,0.446
16-21,Alaska,0.319,0.268
16-21,Alabama,0.449,0.386
16-21,Arkansas,0.394,0.378
16-21,Arizona,0.363,0.308
16-21,California,0.405,0.343
16-21,Colorado,0.486,0.427
16-21,Connecticut,0.397,0.37
16-21,District of Columbia,0.431,0.393
16-21,Delaware,0.392,0.371
16-21,Florida,0.406,0.343
16-21,Georgia,0.444,0.399
16-21,Hawaii,0.619,0.554
16-21,Iowa,0.506,0.47
16-21,Idaho,0.497,0.457
16-21,Illinois,0.388,0.343
16-21,Indiana,0.351,0.326
16-21,Kansas,0.503,0.423
16-21,Kentucky,0.464,0.421
16-21,Louisiana,0.331,0.231
16-21,Massachusetts,0.438,0.433
16-21,Maryland,0.489,0.443
16-21,Maine,0.472,0.439
16-21,Michigan,0.449,0.365
16-21,Minnesota,0.495,0.46
16-21,Missouri,0.4,0.348
16-21,Mississippi,0.375,0.35
16-21,Montana,0.494,0.467
16-21,North Carolina,0.379,0.322
16-21,North Dakota,0.516,0.503
16-21,Nebraska,0.466,0.45
16-21,New Hampshire,0.422,0.363
16-21,New Jersey,0.523,0.479
16-21,New Mexico,0.528,0.475
16-21,Nevada,0.539,0.454
16-21,New York,0.418,0.339
16-21,Ohio,0.465,0.433
16-21,Oklahoma,0.523,0.493
16-21,Oregon,0.484,0.459
16-21,Pennsylvania,0.504,0.465
16-21,Puerto Rico,0.495,0.466
16-21,Rhode Island,0.422,0.409
16-21,South Carolina,0.44,0.384
16-21,South Dakota,0.496,0.463
16-21,Tennessee,0.379,0.327
16-21,Texas,0.509,0.425
16-21,Utah,0.468,0.445
16-21,Virginia,0.407,0.346
16-21,Vermont,0.586,0.58
16-21,Washington,0.497,0.447
16-21,Wisconsin,0.417,0.374
16-21,West Virginia,0.392,0.366
16-21,Wyoming,0.501,0.446
1-9,Alaska,0.324,0.283
1-9,Alabama,0.396,0.34
1-9,Arkansas,0.394,0.38
1-9,Arizona,0.371,0.306
1-9,California,0.433,0.346
1-9,Colorado,0.487,0.429
1-9,Connecticut,0.43,0.395
1-9,District of Columbia,0.404,0.338
1-9,Delaware,0.393,0.356
1-9,Florida,0.383,0.316
1-9,Georgia,0.445,0.332
1-9,Hawaii,0.522,0.45
1-9,Iowa,0.525,0.482
1-9,Idaho,0.501,0.471
1-9,Illinois,0.395,0.342
1-9,Indiana,0.358,0.326
1-9,Kansas,0.517,0.443
1-9,Kentucky,0.505,0.459
1-9,Louisiana,0.342,0.293
1-9,Massachusetts,0.482,0.435
1-9,Maryland,0.455,0.398
1-9,Maine,0.503,0.466
1-9,Michigan,0.448,0.385
1-9,Minnesota,0.5,0.46
1-9,Missouri,0.393,0.349
1-9,Mississippi,0.386,0.34
1-9,Montana,0.48,0.462
1-9,North Carolina,0.382,0.323
1-9,North Dakota,0.504,0.483
1-9,Nebraska,0.471,0.434
1-9,New Hampshire,0.465,0.337
1-9,New Jersey,0.519,0.444
1-9,New Mexico,0.526,0.469
1-9,Nevada,0.491,0.425
1-9,New York,0.415,0.346
1-9,Ohio,0.449,0.399
1-9,Oklahoma,0.534,0.464
1-9,Oregon,0.478,0.441
1-9,Pennsylvania,0.517,0.471
1-9,Puerto Rico,0.447,0.439
1-9,Rhode Island,0.427,0.4
1-9,South Carolina,0.429,0.373
1-9,South Dakota,0.464,0.431
1-9,Tennessee,0.375,0.314
1-9,Texas,0.526,0.444
1-9,Utah,0.517,0.469
1-9,Virginia,0.413,0.363
1-9,Vermont,0.548,0.514
1-9,Washington,0.477,0.436
1-9,Wisconsin,0.426,0.381
1-9,West Virginia,0.399,0.351
1-9,Wyoming,0.517,0.476
22-27,Alaska,0.317,0.27
22-27,Alabama,0.459,0.391
22-27,Arkansas,0.395,0.376
22-27,Arizona,0.357,0.3
22-27,California,0.406,0.346
22-27,Colorado,0.488,0.428
22-27,Connecticut,0.392,0.359
22-27,District of Columbia,0.425,0.382
22-27,Delaware,0.39,0.366
22-27,Florida,0.402,0.338
22-27,Georgia,0.445,0.402
22-27,Hawaii,0.62,0.55
22-27,Iowa,0.495,0.457
22-27,Idaho,0.484,0.447
22-27,Illinois,0.385,0.344
22-27,Indiana,0.348,0.325
22-27,Kansas,0.498,0.406
22-27,Kentucky,0.463,0.422
22-27,Louisiana,0.332,0.234
22-27,Massachusetts,0.437,0.431
22-27,Maryland,0.482,0.431
22-27,Maine,0.476,0.445
22-27,Michigan,0.456,0.373
22-27,Minnesota,0.495,0.46
22-27,Missouri,0.395,0.341
22-27,Mississippi,0.374,0.349
22-27,Montana,0.49,0.454
22-27,North Carolina,0.375,0.315
22-27,North Dakota,0.532,0.524
22-27,Nebraska,0.463,0.443
22-27,New Hampshire,0.413,0.364
22-27,New Jersey,0.519,0.48
22-27,New Mexico,0.525,0.475
22-27,Nevada,0.511,0.442
22-27,New York,0.416,0.347
22-27,Ohio,0.46,0.428
22-27,Oklahoma,0.515,0.489
22-27,Oregon,0.476,0.448
22-27,Pennsylvania,0.505,0.466
22-27,Puerto Rico,0.503,0.465
22-27,Rhode Island,0.423,0.399
22-27,South Carolina,0.437,0.382
22-27,South Dakota,0.497,0.464
22-27,Tennessee,0.376,0.327
22-27,Texas,0.51,0.423
22-27,Utah,0.457,0.432
22-27,Virginia,0.405,0.342
22-27,Vermont,0.51,0.501
22-27,Washington,0.505,0.46
22-27,Wisconsin,0.422,0.38
22-27,West Virginia,0.381,0.362
22-27,Wyoming,0.504,0.451
28-33,Alaska,0.315,0.27
28-33,Alabama,0.457,0.384
28-33,Arkansas,0.391,0.372
28-33,Arizona,0.357,0.3
28-33,California,0.405,0.344
28-33,Colorado,0.484,0.428
28-33,Connecticut,0.394,0.364
28-33,District of Columbia,0.421,0.373
28-33,Delaware,0.388,0.365
28-33,Florida,0.399,0.335
28-33,Georgia,0.447,0.401
28-33,Hawaii,0.617,0.543
28-33,Iowa,0.495,0.457
28-33,Idaho,0.484,0.445
28-33,Illinois,0.383,0.343
28-33,Indiana,0.347,0.325
28-33,Kansas,0.497,0.408
28-33,Kentucky,0.465,0.427
28-33,Louisiana,0.33,0.238
28-33,Massachusetts,0.439,0.428
28-33,Maryland,0.477,0.422
28-33,Maine,0.478,0.447
28-33,Michigan,0.454,0.373
28-33,Minnesota,0.495,0.46
28-33,Missouri,0.39,0.339
28-33,Mississippi,0.373,0.346
28-33,Montana,0.49,0.456
28-33,North Carolina,0.373,0.315
28-33,North Dakota,0.525,0.514
28-33,Nebraska,0.459,0.437
28-33,New Hampshire,0.396,0.354
28-33,New Jersey,0.52,0.476
28-33,New Mexico,0.518,0.465
28-33,Nevada,0.505,0.417
28-33,New York,0.413,0.343
28-33,Ohio,0.459,0.426
28-33,Oklahoma,0.506,0.475
28-33,Oregon,0.473,0.446
28-33,Pennsylvania,0.509,0.471
28-33,Puerto Rico,0.505,0.466
28-33,Rhode Island,0.421,0.396
28-33,South Carolina,0.436,0.381
28-33,South Dakota,0.491,0.458
28-33,Tennessee,0.376,0.331
28-33,Texas,0.504,0.421
28-33,Utah,0.462,0.438
28-33,Virginia,0.402,0.338
28-33,Vermont,0.503,0.488
28-33,Washington,0.502,0.456
28-33,Wisconsin,0.421,0.379
28-33,West Virginia,0.379,0.357
28-33,Wyoming,0.505,0.452
34-38,Alaska,0.307,0.259
34-38,Alabama,0.456,0.372
34-38,Arkansas,0.383,0.358
34-38,Arizona,0.351,0.3
34-38,California,0.412,0.346
34-38,Colorado,0.486,0.444
34-38,Connecticut,0.4,0.359
34-38,District of Columbia,0.409,0.346
34-38,Delaware,0.38,0.347
34-38,Florida,0.383,0.321
34-38,Georgia,0.438,0.389
34-38,Hawaii,0.628,0.539
34-38,Iowa,0.527,0.47
34-38,Idaho,0.475,0.44
34-38,Illinois,0.373,0.33
34-38,Indiana,0.343,0.32
34-38,Kansas,0.492,0.404
34-38,Kentucky,0.469,0.45
34-38,Louisiana,0.341,0.303
34-38,Massachusetts,0.453,0.424
34-38,Maryland,0.447,0.381
34-38,Maine,0.494,0.462
34-38,Michigan,0.454,0.392
34-38,Minnesota,0.501,0.461
34-38,Missouri,0.368,0.321
34-38,Mississippi,0.374,0.331
34-38,Montana,0.489,0.452
34-38,North Carolina,0.364,0.317
34-38,North Dakota,0.534,0.517
34-38,Nebraska,0.458,0.42
34-38,New Hampshire,0.385,0.344
34-38,New Jersey,0.519,0.456
34-38,New Mexico,0.515,0.464
34-38,Nevada,0.5,0.414
34-38,New York,0.415,0.371
34-38,Ohio,0.446,0.411
34-38,Oklahoma,0.493,0.455
34-38,Oregon,0.467,0.441
34-38,Pennsylvania,0.517,0.484
34-38,Puerto Rico,0.531,0.485
34-38,Rhode Island,0.432,0.392
34-38,South Carolina,0.424,0.374
34-38,South Dakota,0.466,0.435
34-38,Tennessee,0.367,0.33
34-38,Texas,0.496,0.427
34-38,Utah,0.482,0.446
34-38,Virginia,0.383,0.313
34-38,Vermont,0.507,0.491
34-38,Washington,0.502,0.462
34-38,Wisconsin,0.419,0.375
34-38,West Virginia,0.368,0.345
34-38,Wyoming,0.511,0.469
39-40,Alaska,0.306,0.273
39-40,Alabama,0.454,0.361
39-40,Arkansas,0.369,0.356
39-40,Arizona,0.342,0.287
39-40,California,0.416,0.347
39-40,Colorado,0.474,0.435
39-40,Connecticut,0.397,0.36
39-40,District of Columbia,0.388,0.319
39-40,Delaware,0.38,0.352
39-40,Florida,0.371,0.309
39-40,Georgia,0.456,0.399
39-40,Hawaii,0.57,0.476
39-40,Iowa,0.489,0.451
39-40,Idaho,0.474,0.44
39-40,Illinois,0.376,0.342
39-40,Indiana,0.331,0.311
39-40,Kansas,0.491,0.397
39-40,Kentucky,0.492,0.473
39-40,Louisiana,0.333,0.288
39-40,Massachusetts,0.45,0.418
39-40,Maryland,0.432,0.372
39-40,Maine,0.496,0.469
39-40,Michigan,0.452,0.394
39-40,Minnesota,0.492,0.46
39-40,Missouri,0.36,0.316
39-40,Mississippi,0.376,0.333
39-40,Montana,0.478,0.451
39-40,North Carolina,0.355,0.303
39-40,North Dakota,0.516,0.503
39-40,Nebraska,0.452,0.416
39-40,New Hampshire,0.369,0.333
39-40,New Jersey,0.528,0.465
39-40,New Mexico,0.493,0.437
39-40,Nevada,0.479,0.397
39-40,New York,0.404,0.365
39-40,Ohio,0.448,0.407
39-40,Oklahoma,0.489,0.447
39-40,Oregon,0.449,0.425
39-40,Pennsylvania,0.526,0.49
39-40,Puerto Rico,0.528,0.47
39-40,Rhode Island,0.423,0.38
39-40,South Carolina,0.42,0.369
39-40,South Dakota,0.463,0.431
39-40,Tennessee,0.36,0.329
39-40,Texas,0.508,0.421
39-40,Utah,0.487,0.45
39-40,Virginia,0.381,0.31
39-40,Vermont,0.505,0.488
39-40,Washington,0.501,0.465
39-40,Wisconsin,0.42,0.377
39-40,West Virginia,0.364,0.337
39-40,Wyoming,0.514,0.471
41-43,Alaska,0.301,0.264
41-43,Alabama,0.427,0.344
41-43,Arkansas,0.355,0.339
41-43,Arizona,0.348,0.3
41-43,California,0.413,0.34
41-43,Colorado,0.462,0.432
41-43,Connecticut,0.402,0.38
41-43,District of Columbia,0.381,0.3
41-43,Delaware,0.377,0.354
41-43,Florida,0.368,0.309
41-43,Georgia,0.454,0.388
41-43,Hawaii,0.555,0.469
41-43,Iowa,0.516,0.484
41-43,Idaho,0.484,0.448
41-43,Illinois,0.371,0.337
41-43,Indiana,0.33,0.309
41-43,Kansas,0.503,0.45
41-43,Kentucky,0.483,0.466
41-43,Louisiana,0.335,0.287
41-43,Massachusetts,0.453,0.415
41-43,Maryland,0.425,0.371
41-43,Maine,0.492,0.465
41-43,Michigan,0.433,0.374
41-43,Minnesota,0.484,0.456
41-43,Missouri,0.355,0.314
41-43,Mississippi,0.378,0.331
41-43,Montana,0.482,0.466
41-43,North Carolina,0.357,0.312
41-43,North Dakota,0.502,0.488
41-43,Nebraska,0.453,0.42
41-43,New Hampshire,0.36,0.316
41-43,New Jersey,0.527,0.457
41-43,New Mexico,0.472,0.407
41-43,Nevada,0.475,0.383
41-43,New York,0.402,0.358
41-43,Ohio,0.444,0.402
41-43,Oklahoma,0.483,0.435
41-43,Oregon,0.461,0.441
41-43,Pennsylvania,0.523,0.487
41-43,Puerto Rico,0.518,0.459
41-43,Rhode Island,0.426,0.403
41-43,South Carolina,0.419,0.366
41-43,South Dakota,0.455,0.426
41-43,Tennessee,0.359,0.325
41-43,Texas,0.508,0.439
41-43,Utah,0.506,0.468
41-43,Virginia,0.372,0.302
41-43,Vermont,0.498,0.474
41-43,Washington,0.508,0.473
41-43,Wisconsin,0.405,0.361
41-43,West Virginia,0.359,0.33
41-43,Wyoming,0.508,0.464
44-49,Alaska,0.301,0.267
44-49,Alabama,0.41,0.344
44-49,Arkansas,0.358,0.337
44-49,Arizona,0.34,0.294
44-49,California,0.423,0.353
44-49,Colorado,0.467,0.438
44-49,Connecticut,0.41,0.377
44-49,District of Columbia,0.379,0.293
44-49,Delaware,0.382,0.352
44-49,Florida,0.363,0.304
44-49,Georgia,0.43,0.367
44-49,Hawaii,0.544,0.464
44-49,Iowa,0.517,0.486
44-49,Idaho,0.481,0.445
44-49,Illinois,0.373,0.339
44-49,Indiana,0.323,0.301
44-49,Kansas,0.514,0.455
44-49,Kentucky,0.472,0.451
44-49,Louisiana,0.346,0.289
44-49,Massachusetts,0.462,0.423
44-49,Maryland,0.424,0.374
44-49,Maine,0.495,0.469
44-49,Michigan,0.426,0.371
44-49,Minnesota,0.481,0.453
44-49,Missouri,0.354,0.312
44-49,Mississippi,0.38,0.333
44-49,Montana,0.481,0.464
44-49,North Carolina,0.354,0.309
44-49,North Dakota,0.505,0.472
44-49,Nebraska,0.462,0.425
44-49,New Hampshire,0.343,0.297
44-49,New Jersey,0.525,0.456
44-49,New Mexico,0.477,0.416
44-49,Nevada,0.461,0.391
44-49,New York,0.401,0.37
44-49,Ohio,0.436,0.396
44-49,Oklahoma,0.491,0.44
44-49,Oregon,0.467,0.445
44-49,Pennsylvania,0.509,0.472
44-49,Puerto Rico,0.514,0.45
44-49,Rhode Island,0.441,0.404
44-49,South Carolina,0.417,0.362
44-49,South Dakota,0.459,0.427
44-49,Tennessee,0.341,0.299
44-49,Texas,0.51,0.436
44-49,Utah,0.505,0.461
44-49,Virginia,0.372,0.302
44-49,Vermont,0.497,0.469
44-49,Washington,0.514,0.482
44-49,Wisconsin,0.403,0.352
44-49,West Virginia,0.357,0.328
44-49,Wyoming,0.506,0.463
